"123505";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGACOOP";" "
"123506";"TITULOS EMITIDOS POR EL BANCO DE LA REPUBLICA";" "
"123507";"BONOS HIPOTECARIOS";" "
"123508";"TITULOS HIPOTECARIOS";" "
"123509";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE CARTERA HIPOTECARIA";" "
"123510";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE SUBYACENTES DISTINTOS DE";" "
"123511";"TITULOS EMITIDOS, AVALADOS, ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDE";" "
"123514";"TITULOS EMITIDOS POR ENTIDADES NO VIGILADAS POR LA SUPERINTENDENCIA BANCARIA (INCLUIDOS LOS BONOS OB";" "
"123515";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR GOBIERNOS EXTRANJEROS";" "
"123516";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR BANCOS CENTRALES EXTRANJEROS";" "
"123517";"TITULOS EMITIDOS, AVALADOS, GARANTIZADOS O ACEPTADOS POR BANCOS DEL EXTERIOR";" "
"123518";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR ORGANISMOS MULTILATERALES DE CR";" "
"123542";"TITULOS EMITIDOS POR RESIDENTES EN EL EXTERIOR";" "
"123595";"OTROS TITULOS";" "
"1236";"DERECHOS DE RECOMPRA DE INVERSIONES DISPONIBLES PARA LA VENTA EN TITULOS PARTICIPATIVOS";" "
"123601";"ACCIONES CON ALTA LIQUIDEZ BURSATIL";" "
"123602";"ACCIONES CON MEDIA LIQUIDEZ BURSATIL";" "
"123604";"ACCIONES CON BAJA Y M";" "
"123695";"OTROS";" "
"1286";"PROVISION DE INVERSIONES NEGOCIABLES EN TITULOS DE DEUDA";" "
"128605";"LARGO PLAZO BB+, BB, BB-";" "
"128610";"LARGO PLAZO B+, B, B-";" "
"128615";"LARGO PLAZO CCC";" "
"128620";"LARGO PLAZO DD, EE";" "
"128625";"CORTO PLAZO 3";" "
"128630";"CORTO PLAZO 4";" "
"128635";"CORTO PLAZO 5, 6";" "
"128640";"CATEGORIA B - RIESGO ACEPTABLE, SUPERIOR AL NORMAL";" "
"128645";"CATEGORIA C - RIESGO APRECIABLE";" "
"128650";"CATEGORIA D - RIESGO SIGNIFICATIVO";" "
"128655";"CATEGORIA E - INCOBRABLE";" "
"128695";"OTRAS PROVISIONES";" "
"1287";"PROVISION DE INVERSIONES NEGOCIABLES EN TITULOS PARTICIPATIVOS";" "
"128740";"CATEGORIA B - RIESGO ACEPTABLE, SUPERIOR AL NORMAL";" "
"128745";"CATEGORIA C - RIESGO APRECIABLE";" "
"128750";"CATEGORIA D - RIESGO SIGNIFICATIVO";" "
"128755";"CATEGORIA E - INCOBRABLE";" "
"128795";"OTRAS PROVISIONES";" "
"1288";"PROVISION DE INVERSIONES PARA MANTENER HASTA EL VENCIMIENTO";" "
"128805";"LARGO PLAZO BB+, BB, BB-";" "
"128810";"LARGO PLAZO B+, B, B-";" "
"128815";"LARGO PLAZO CCC";" "
"128820";"LARGO PLAZO DD, EE";" "
"128825";"CORTO PLAZO 3";" "
"128830";"CORTO PLAZO 4";" "
"128835";"CORTO PLAZO 5, 6";" "
"128840";"CATEGORIA B - RIESGO ACEPTABLE, SUPERIOR AL NORMAL";" "
"128845";"CATEGORIA C - RIESGO APRECIABLE";" "
"128850";"CATEGORIA D - RIESGO SIGNIFICATIVO";" "
"128855";"CATEGORIA E - INCOBRABLE";" "
"128895";"OTRAS PROVISIONES";" "
"1289";"PROVISION DE INVERSIONES DISPONIBLES PARA LA VENTA EN TITULOS DE DEUDA";" "
"128905";"LARGO PLAZO BB+, BB, BB-";" "
"128910";"LARGO PLAZO B+, B, B-";" "
"128915";"LARGO PLAZO CCC";" "
"128920";"LARGO PLAZO DD, EE";" "
"128925";"CORTO PLAZO 3";" "
"128930";"CORTO PLAZO 4";" "
"128935";"CORTO PLAZO 5, 6";" "
"128940";"CATEGORIA B - RIESGO ACEPTABLE, SUPERIOR AL NORMAL";" "
"128945";"CATEGORIA C - RIESGO APRECIABLE";" "
"128950";"CATEGORIA D - RIESGO SIGNIFICATIVO";" "
"128955";"CATEGORIA E - INCOBRABLE";" "
"128995";"OTRAS PROVISIONES";" "
"1291";"PROVISION DE INVERSIONES DISPONIBLES PARA LA VENTA EN TITULOS PARTICIPATIVOS";" "
"129105";"LARGO PLAZO BB+, BB, BB-";" "
"129110";"LARGO PLAZO B+, B, B-";" "
"129115";"LARGO PLAZO CCC";" "
"129120";"LARGO PLAZO DD, EE";" "
"129140";"CATEGORIA B - RIESGO ACEPTABLE, SUPERIOR AL NORMAL";" "
"129145";"CATEGORIA C - RIESGO APRECIABLE";" "
"129150";"CATEGORIA D - RIESGO SIGNIFICATIVO";" "
"129155";"CATEGORIA E - INCOBRABLE";" "
"129195";"OTRAS PROVISIONES";" "
"13";"INVENTARIOS";" "
"1305";"BIENES NO TRANSFORMADOS POR LA ENTIDAD";" "
"130505";"INV. PRODUCTOS NO FABRICADOS POR LA ENTIDAD";" "
"1310";"MATERIAS PRIMAS";" "
"131005";"MATERIAS PRIMAS";" "
"1315";"PRODUCTOS EN PROCESO";" "
"131505";"PRODUCTOS EN PROCESO";" "
"1320";"PRODUCTOS TERMINADOS";" "
"132005";"PRODUCTOS TERMINADOS";" "
"1325";"MATERIALES Y SUMINISTROS";" "
"132505";"MATERIALES Y SUMINISTROS";" "
"1330";"SEMOVIENTES";" "
"133005";"SEMOVIENTES";" "
"1335";"INVENTARIO EN TRANSITO";" "
"133505";"INVENTARIO EN TRANSITO";" "
"1340";"CONTRATOS EN EJECUCION";" "
"134005";"CONTRATOS EN EJECUCION";" "
"1345";"CULTIVOS EN DESARROLLO";" "
"134505";"CULTIVOS EN DESARROLLO";" "
"1350";"PLANTACIONES AGRICOLAS";" "
"135005";"PLANTACIONES AGRICOLAS";" "
"1355";"BIENES RAICES PARA LA VENTA";" "
"135505";"BIENES RAICES PARA LA VENTA";" "
"1360";"ENVASES Y EMPAQUES";" "
"136005";"ENVASES Y EMPAQUES";" "
"1365";"OBRAS DE CONSTRUCCI";" "
"136505";"OBRAS DE CONSTRUCCI";" "
"1380";"INVENTARIOS EN CONSIGNACION";" "
"138005";"INVENTARIOS EN CONSIGNACION";" "
"1385";"MAUSOLEOS";" "
"138505";"MAUSOLEOS";" "
"1390";"PROVISION";" "
"139005";"POR OBSOLESCENCIA";" "
"139010";"POR DIFERENCIA DE INVENTARIO FISICO";" "
"139015";"POR P";" "
"139085";"POR OTROS CONCEPTOS";" "
"14";"CARTERA DE CREDITOS";" "
"1404";"CREDITOS DE VIVIENDA - CON LIBRANZA";" "
"140405";"CATEGORIA A RIESGO NORMAL";" "
"140410";"CATEGORIA B RIESGO ACEPTABLE";" "
"140415";"CATEGORIA C RIESGO APRECIABLE";" "
"140420";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"140425";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1405";"CREDITOS DE VIVIENDA - SIN LIBRANZA";" "
"140505";"CATEGORIA A RIESGO NORMAL";" "
"140510";"CATEGORIA B RIESGO ACEPTABLE";" "
"140515";"CATEGORIA C RIESGO APRECIABLE";" "
"140520";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"140525";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1411";"CREDITOS DE CONSUMO, GARANTIA ADMISIBLE - CON LIBRANZA";" "
"141105";"CATEGORIA A RIESGO NORMAL";" "
"141110";"CATEGORIA B RIESGO ACEPTABLE";" "
"141115";"CATEGORIA C RIESGO APRECIABLE";" "
"141120";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"141125";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1412";"CREDITOS DE CONSUMO, GARANTIA ADMISIBLE, - SIN LIBRANZA";" "
"141205";"CATEGORIA A RIESGO NORMAL";" "
"141210";"CATEGORIA B RIESGO ACEPTABLE";" "
"141215";"CATEGORIA C RIESGO APRECIABLE";" "
"141220";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"141225";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1441";"CREDITOS DE CONSUMO, OTRAS GARANTIAS - CON LIBRANZA";" "
"144105";"CATEGORIA A RIESGO NORMAL";" "
"144110";"CATEGORIA B RIESGO ACEPTABLE";" "
"144115";"CATEGORIA C RIESGO APRECIABLE";" "
"144120";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"144125";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1442";"CREDITOS DE CONSUMO, OTRAS GARTANT";" "
"144205";"CATEGORIA A RIESGO NORMAL";" "
"144210";"CATEGORIA B RIESGO ACEPTABLE";" "
"144215";"CATEGORIA C RIESGO APRECIABLE";" "
"144220";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"144225";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1454";"MICROCREDITOS INMOBILIARIO - CON LIBRANZA";" "
"145405";"CATEGORIA A RIESGO NORMAL";" "
"145410";"CATEGORIA B RIESGO ACEPTABLE";" "
"145415";"CATEGORIA C RIESGO APRECIABLE";" "
"145420";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"145425";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1455";"MICROCREDITOS INMOBILIARIO - SIN LIBRANZA";" "
"145505";"CATEGORIA A RIESGO NORMAL";" "
"145510";"CATEGORIA B RIESGO ACEPTABLE";" "
"145515";"CATEGORIA C RIESGO APRECIABLE";" "
"145520";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"145525";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1456";"MICROCREDITOS, EMPRESARIAL - GARANTIA ADMISIBLE - CON LIBRANZA";" "
"145605";"CATEGORIA A RIESGO NORMAL";" "
"145610";"CATEGORIA B RIESGO ACEPTABLE";" "
"145615";"CATEGORIA C RIESGO APRECIABLE";" "
"145620";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"145625";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1457";"MICROCREDITOS EMPRESARIAL - GARANTIA ADMISIBLE - SIN LIBRANZA";" "
"145705";"CATEGORIA A RIESGO NORMAL";" "
"145710";"CATEGORIA B RIESGO ACEPTABLE";" "
"145715";"CATEGORIA C RIESGO APRECIABLE";" "
"145720";"CATEGORIA D RIESGO SIGNIFICATIVO";" "
"145725";"CATEGORIA E RIESGO DE INCOBRABILIDAD";" "
"1458";"MICROCREDITOS EMPRESARIAL- OTRAS GARANTIAS - CON LIBRANZA";" "
"145805";"CATEGORIA A RIESGO NORMAL";" "
